PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 10 18 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.0008665329,-0.9996937766,0,0.9996937766,-0.0008665329,0,1,0,0,0,13366713.7,1089450000,621000000000,331200000000000,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,00 42 33.02,-09 22 30.0 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,15 58 23.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 09 02 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,A0085_SAMI_T001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,C901028017603094,30.1906796812,-166.7139051969,169.4401927875,3.5326550568,1.7495451066,1.7831099503,10.7672862063,-8.6678536147,17.4739646912,16.6391086578,33,15.9954051971,0,0,0,0,10.144365,4.3353238106,0.056612495,33,,,8,29309.0826130086,159815.083082523,1,30126.2,-166740.49,33,P,rectangular_magnet,R01,1,I,1,C,67.5937747672,1.7831099503,circular_magnet,Yel,1,TL,0.0697451149,0
2,C901027875303735,101.5861721828,-76.4750522853,127.1542655243,4.0705644447,2.4960946305,1.5744698141,11.0766810699,-9.0485706832,17.1894264221,16.2977828979,33,15.5781440735,0,0,0,0,10.387881,3.6148741245,0.057120357,33,,,8,99232.3217877727,73773.0256026361,1,101570.86,-76495.54,33,P,rectangular_magnet,R02,1,I,2,I,36.7738370849,1.5744698141,circular_magnet,Gre,1,RO,0.0255775174,0
3,C901027875001219,-108.9450617277,-90.601065442,141.6645216038,1.9655742873,0.6930196931,1.2725545941,10.1679051967,-8.9889332591,18.0594902039,17.1921539307,33,16.5641765594,0,0,0,0,10.063623,2.2943079472,0.058626965,33,,,8,-106151.025544688,87251.0834438538,1,-108985.4,-90504.25,33,P,rectangular_magnet,R03,1,I,3,N,157.3808890201,1.2725545941,circular_magnet,Gre,1,TL,0.1048828204,0
4,C901027732800121,-116.9240998912,-35.5607474927,122.2124178341,-1.2796084708,0.2957376836,4.7078391528,10.1319141065,-9.2222211848,17.0197906494,16.19962883,33,15.5632362366,0,0,0,0,10.204299,7.6000061035,0.051402226,33,,,8,-114285.011920808,34528.0122291584,1,-116906.86,-35618.27,33,P,rectangular_magnet,R04,1,I,4,B,-16.6838351922,4.7078391528,circular_magnet,Gre,1,TR,0.060050418,0
5,C901027590502743,-148.7030308672,14.2439313733,149.3488482656,-1.0029010152,-0.0951980246,5.3754823166,9.9962988579,-9.4344354089,17.9692440033,17.4822254181,33,17.1561260223,0,0,0,0,9.554323,3.4109117985,0.05644147,33,,,8,-144934.058113374,-13432.4024097654,1,-148672.61,14196.25,33,P,rectangular_magnet,R05,1,I,5,J,-32.5380045599,5.3754823166,circular_magnet,Yel,1,TR,0.0565591948,0
6,C901027448603999,-67.3205670664,98.78935685,119.4936462525,-0.1620362466,-0.9730913487,0.8110551021,10.3459345253,-9.7965223224,16.4172782898,15.5114660263,33,14.8493242264,0,0,0,0,10.740974,3.1032397747,0.056727923,33,,,8,-65916.3972804397,-95264.0448663659,1,-67244.67,98776.95,33,P,rectangular_magnet,R06,1,I,6,G,-80.716006939,0.8110551021,circular_magnet,Gre,1,TL,0.0769044512,0
7,C901027448804060,49.0295320636,114.7960932639,124.7917564769,3.1973667397,4.3093280202,5.1712240266,10.849261434,-9.8648491019,17.9390068054,17.1090164185,33,16.4545173645,0,0,0,0,10.052617,1.1042064428,0.04974548,33,,,8,47835.4840779476,-110705.897024036,1,48947.8,114791.53,33,P,rectangular_magnet,R07,1,I,7,L,86.8043802614,5.1712240266,circular_magnet,Gre,1,TR,0.0818593525,0
8,C901027590900411,61.3921318441,46.3625342364,76.8879354042,3.5132173076,3.7885656535,6.0078369613,10.9041916591,-9.5737529353,17.9771442413,17.1217708588,33,16.5225219727,0,0,0,0,10.057036,3.2508490086,0.057947036,33,,,8,60249.7149621047,-44918.1633763652,1,61349.81,46346.04,33,P,rectangular_magnet,R08,1,I,8,M,68.7074757641,6.0078369613,circular_magnet,Blu,1,TR,0.0454224429,0
9,C901027875200703,2.5340717402,-72.6150395596,72.6708864162,3.535957277,1.605253392,1.930703885,10.6486717047,-9.063414327,16.8572940826,15.9943237305,33,15.3613471985,0,0,0,0,10.453451,2.839682579,0.05465781,33,,,8,2502.2052702739,70418.3621081769,1,2503.53,-72627.75,33,P,rectangular_magnet,R09,1,I,9,S,67.4045714909,1.930703885,circular_magnet,Blu,1,TL,0.0330810095,0
10,C901027875102495,-35.8446049954,-77.4971767019,85.3417079397,1.7132059406,1.1372417373,0.5759642033,10.4822392279,-9.0429797976,17.327917099,16.4453792572,33,15.7954273224,0,0,0,0,10.461699,3.6030631065,0.05799968,33,,,8,-35111.5345012545,75036.5657400685,1,-35851.98,-77445.74,33,P,rectangular_magnet,R10,1,I,10,T,171.8405301688,0.5759642033,circular_magnet,Blu,1,TR,0.051962727,0
11,C901027590604290,-70.9137450617,3.4814218882,71.0111104902,1.7316447763,-0.0498434025,1.7814881788,10.3291884783,-9.3898566869,17.7363433838,17.253742218,33,16.9013290405,0,0,0,0,9.623854,2.8145711422,0.049822234,33,,,8,-69701.0038995672,-3357.6112445294,1,-70922.92,3537.97,33,P,rectangular_magnet,R11,1,I,11,K,170.7840627019,1.7814881788,circular_magnet,Blu,1,RO,0.0572875941,0
12,C901027590604293,-70.9390432223,46.3633515831,84.7306027691,-0.5697642454,-0.5788797106,0.0091154651,10.3293159157,-9.5732838093,17.4640350342,16.5426502228,33,15.86485672,0,0,0,0,10.257658,1.8347809315,0.05827972,33,,,8,-69672.2030525255,-44812.1408967058,1,-70925.96,46354.97,33,P,rectangular_magnet,R12,1,I,12,P,-57.3549134187,0.0091154651,circular_magnet,Blu,1,TR,0.0155377489,0
13,C901027306603820,-65.2681705387,160.7652055749,173.548150559,3.1501243803,-1.1845729985,4.3346973788,10.3560452994,-10.0554637448,16.979391098,16.0559043884,33,15.3746356964,0,0,0,0,10.520005,2.5956757069,0.06477666,33,,,8,-63631.3623305106,-153784.806315576,1,-65374.31,160764.3,33,P,rectangular_magnet,R13,1,I,13,E,89.5111680675,4.3346973788,circular_magnet,Yel,1,TR,0.1061433244,0
14,C901027732701981,-159.4358959315,-30.7731960755,162.3917474291,1.9081514211,0.1901194226,1.7180319986,9.9517077807,-9.2436200857,17.7603645325,16.9573707581,33,16.3271026611,0,0,0,0,10.035435,3.6388573647,0.05780403,33,,,8,-155011.641558023,29691.8606350883,1,-159465.72,-30688.17,33,P,rectangular_magnet,R14,1,I,14,D,160.6709768963,1.7180319986,circular_magnet,Yel,1,TL,0.0901049864,0
15,C901027448704723,1.6391469917,65.2759010888,65.2821150928,-0.2054060943,4.6860721507,1.3917070622,10.6449013289,-9.6550632475,15.3307476044,14.4481620789,33,13.7839679718,0,0,0,0,11.040866,11.9465904236,0.054550298,33,,,8,1650.1003303648,-63294.2939400723,1,1717.82,65259.51,33,P,rectangular_magnet,R15,1,I,15,A,-78.2310977124,1.3917070622,circular_magnet,Blu,1,TL,0.080362367,0
16,C901028017503888,-14.6499727967,-132.7216527766,133.5518787716,3.7823645623,1.4606665152,2.3216980471,10.5746157684,-8.8088740878,17.2191963196,16.3531494141,33,15.7178182602,0,0,0,0,10.374859,1.6558762789,0.056649443,33,,,8,-14234.4363396228,127944.456163325,1,-14678.33,-132742.8,33,P,rectangular_magnet,R16,1,I,16,Q,53.2864739994,2.3216980471,circular_magnet,Gre,1,TL,0.0353742284,0
17,C901027732904189,-24.5350759938,-31.6931817057,40.1054893678,3.4362884352,0.9121865867,2.5241018485,10.5307143788,-9.2384785877,17.8428878784,16.976776123,33,16.3642730713,0,0,0,0,10.086249,3.3242120743,0.05563253,33,,,8,-24156.1503902277,30853.8391788021,1,-24545.28,-31717.18,33,P,rectangular_magnet,R17,1,I,17,O,73.1151754731,2.5241018485,circular_magnet,Blu,1,TR,0.0167343919,0.02
18,C901027590900345,60.6486011466,12.8138349438,61.9388261422,3.6979879623,3.3495253385,0.3484626238,10.9012961288,-9.429956341,16.2778339386,15.4946908951,33,14.918589592,0,0,0,0,10.650841,2.4108457565,0.050276417,33,,,8,59595.3251006082,-12420.1330718999,1,60604.65,12786.5,33,P,rectangular_magnet,R18,1,I,18,F,58.1208970709,0.3484626238,circular_magnet,Blu,1,TR,0.0517581148,0
19,C901027448901522,78.9806431617,82.7985943101,114.3843967954,3.4472993077,3.9507915039,5.779693111,10.9795629464,-9.7287728098,17.0360450745,16.1819648743,33,15.5609378815,0,0,0,0,10.407127,1.7981088161,0.05591489,33,,,8,77283.6258923626,-79952.6550092387,1,78934.21,82783.94,33,P,rectangular_magnet,R19,1,I,19,R,72.4842989508,5.779693111,circular_magnet,Gre,1,TR,0.0486907313,0
20,S96710104866883072,-34.5787708231,7.2410906927,35.3214568499,-0.4818259218,-0.206366846,6.0077262313,10.486718,-9.406054,18.5060005188,17.5160007477,17.1287002563,16.9025993347,0,0,0,0,0,0,0,0,9.2516240367,4.711451241,1,-34099.3320000002,-7018.2039999998,0,-34572,7237.55,33,P,rectangular_magnet,R20,1,I,20,H,-62.393408219,6.0077262313,circular_magnet,Blu,1,TR,0.0076407167,0
21,S96890108010506048,37.5591569153,-28.2407582179,46.9663713905,3.3519913873,2.4962528665,0.8557385208,10.801085,-9.25365,16.5622005463,16.1245994568,15.9637002945,15.9338998795,0,0,0,0,0,0,0,0,1.6147481563,3.8363954064,5,36947.6099999999,27425.0999999999,0,37521.22,-28248.86,33,P,rectangular_magnet,R21,1,I,21,U,77.9450405424,0.8557385208,circular_magnet,Blu,1,TL,0.0387923757,0
22,G96750106394220384,0.3637723504,0.0017369704,0.3395968694,-0.7796448739,3.1479531791,2.3555872541,10.639456,-9.375004,,13.9286003113,,,,,,,,,,,-0.2777657811,-1.2802195323,33,419.4559999996,-0.9040000001,2,339.59,2.16,33,G,rectangular_magnet,R22,1,I,22,GS1,-45.3296392063,2.3555872541,circular_magnet,Blu,1,RI,-0.017495,-0.0167
23,G96620111276249968,113.1541952988,23.5397780859,115.56158156,3.7937838923,3.3467280347,0.4470558576,11.127664,-9.475399,,13.63560009,,,,,,,,,,,-5.6445914629,-21.0361494366,33,110754.464,-22690.1739999999,2,113138.65,23539.86,33,G,rectangular_magnet,R23,1,I,23,GS2,52.6321945876,0.4470558576,circular_magnet,Gre,1,TR,0.012305,-0.0095
24,G97330109237373776,66.2023134709,-114.0005165263,131.827796173,3.601806821,2.0971113652,1.5046954559,10.923795,-8.888859,,13.6405000687,,,,,,,,,,,-3.6063245295,-6.6211521307,33,64680.0699999998,109867.866,2,66223.76,-113986.76,33,G,rectangular_magnet,R24,1,I,24,GS3,63.6316705329,1.5046954559,circular_magnet,Gre,1,TL,-0.025325,-0.0028
25,G97440103643756992,-63.4900872233,-136.3598546463,150.3850205754,2.0695906809,1.134974947,0.9346157339,10.364422,-8.794539,,13.4476003647,,,,,,,,,,,23.3956799903,-1.7165174975,33,-61738.2280000003,131184.186,2,-63485.81,-136327.57,33,G,rectangular_magnet,R25,1,I,25,GS4,151.4211886667,0.9346157339,circular_magnet,Yel,1,TL,0.026305,-0.0192
26,G96560101434097952,-114.0711851225,35.7917334979,119.5516627619,1.952854412,-0.303768339,2.256622751,10.14345,-9.527069,,14.1045999527,,,,,,,,,,,-0.6511642745,-3.9257951195,33,-111677.9,-34367.5939999998,2,-114078.12,35760.07,33,G,rectangular_magnet,R26,1,I,26,GS5,158.1096841866,2.256622751,circular_magnet,Gre,1,TL,-0.026795,0.01824
27,G96180106415732416,0.9787006441,110.6688844157,110.6954907797,-0.1584921443,4.7032321109,1.421461052,10.641645,-9.8483,,13.6493997574,,,,,,,,,,,7.8633507102,14.9259393383,33,914.1699999999,-106965.8,2,1013.61,110690.85,33,G,rectangular_magnet,R27,1,I,27,GS6,-80.9190690452,1.421461052,circular_magnet,Gre,1,TL,0.031005,0.0272
22,Sky-A1-1,-81.75646,-224.58157,0,0,0,0,10.2935128,-8.437991488,,,,,,,,,,,,,,,33,,,33,-81756.46,-224581.57,2,S,,,33,,,,,,,,33,,,
