PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sky-A1-2,-93.24117,-222.23219,0,0,0,0,10.2452918,-8.448216745,,,,,,,,,,,,,,,33,,,33,-93241.17,-222232.19,1,S,,,33,,,,,,,,33,,,
24,Sky-A1-3,-102.1024,-213.87871,0,0,0,0,10.2074293,-8.482009768,,,,,,,,,,,,,,,33,,,33,-102102.4,-213878.71,3,S,,,33,,,,,,,,33,,,
25,Sky-A1-4,-114.16975,-212.24121,0,0,0,0,10.1570299,-8.489710595,,,,,,,,,,,,,,,33,,,33,-114169.75,-212241.21,1,S,,,33,,,,,,,,33,,,
26,Sky-A1-5,-124.24934,-206.50222,0,0,0,0,10.1145084,-8.513553853,,,,,,,,,,,,,,,33,,,33,-124249.34,-206502.22,1,S,,,33,,,,,,,,33,,,
27,Sky-A1-6,-132.92867,-198.62268,0,0,0,0,10.0775617,-8.545877211,,,,,,,,,,,,,,,33,,,33,-132928.67,-198622.68,2,S,,,33,,,,,,,,33,,,
28,Sky-A1-7,-143.52243,-193.60365,0,0,0,0,10.0331751,-8.567158174,,,,,,,,,,,,,,,33,,,33,-143522.43,-193603.65,1,S,,,33,,,,,,,,33,,,
29,Sky-A2-1,-240.9813,-3.01251,0,0,0,0,9.6201398,-9.360374199,,,,,,,,,,,,,,,33,,,33,-240981.3,-3012.51,1,S,,,33,,,,,,,,33,,,
30,Sky-A2-2,-240.84715,8.5856,0,0,0,0,9.6205709,-9.408691436,,,,,,,,,,,,,,,33,,,33,-240847.15,8585.6,1,S,,,33,,,,,,,,33,,,
31,Sky-A2-3,-240.15512,20.16382,0,0,0,0,9.6233584,-9.456930455,,,,,,,,,,,,,,,33,,,33,-240155.12,20163.82,1,S,,,33,,,,,,,,33,,,
32,Sky-A2-4,-238.90682,31.69534,0,0,0,0,9.6284965,-9.504979479,,,,,,,,,,,,,,,33,,,33,-238906.82,31695.34,1,S,,,33,,,,,,,,33,,,
33,Sky-A2-5,-237.10513,43.15344,0,0,0,0,9.6359741,-9.552727071,,,,,,,,,,,,,,,33,,,33,-237105.13,43153.44,1,S,,,33,,,,,,,,33,,,
34,Sky-A2-6,-239.62452,55.6425,0,0,0,0,9.626605,-9.604381885,,,,,,,,,,,,,,,33,,,33,-239624.52,55642.5,0,S,,,33,,,,,,,,33,,,
35,Sky-A2-7,-231.85957,65.74346,0,0,0,0,9.6578758,-9.646876052,,,,,,,,,,,,,,,33,,,33,-231859.57,65743.46,1,S,,,33,,,,,,,,33,,,
36,Sky-A3-1,-65.83122,229.75476,0,0,0,0,10.3583385,-10.331561455,,,,,,,,,,,,,,,33,,,33,-65831.22,229754.76,2,S,,,33,,,,,,,,33,,,
37,Sky-A3-2,-54.7005,232.65609,0,0,0,0,10.4054424,-10.34368775,,,,,,,,,,,,,,,33,,,33,-54700.5,232656.09,2,S,,,33,,,,,,,,33,,,
38,Sky-A3-3,-44.71549,241.90189,0,0,0,0,10.4480434,-10.380226842,,,,,,,,,,,,,,,33,,,33,-44715.49,241901.89,0,S,,,33,,,,,,,,33,,,
39,Sky-A3-4,-32.08506,236.83654,0,0,0,0,10.5011599,-10.361170263,,,,,,,,,,,,,,,33,,,33,-32085.06,236836.54,2,S,,,33,,,,,,,,33,,,
40,Sky-A3-5,-20.82553,240.09865,0,0,0,0,10.548861,-10.374223517,,,,,,,,,,,,,,,33,,,33,-20825.53,240098.65,1,S,,,33,,,,,,,,33,,,
41,Sky-A3-6,-9.1725,238.82392,0,0,0,0,10.5981449,-10.369499912,,,,,,,,,,,,,,,33,,,33,-9172.5,238823.92,2,S,,,33,,,,,,,,33,,,
42,Sky-A3-7,-2.34844,240.98869,0,0,0,0,10.6270314,-10.377964187,,,,,,,,,,,,,,,33,,,33,-2348.44,240988.69,1,S,,,33,,,,,,,,33,,,
43,Sky-A4-1,117.86456,210.21182,0,0,0,0,11.135489,-10.249798409,,,,,,,,,,,,,,,33,,,33,117864.56,210211.82,1,S,,,33,,,,,,,,33,,,
44,Sky-A4-2,125.7203,200.90646,0,0,0,0,11.1692702,-10.211982413,,,,,,,,,,,,,,,33,,,33,125720.3,200906.46,3,S,,,33,,,,,,,,33,,,
45,Sky-A4-3,137.52377,197.90977,0,0,0,0,11.2185777,-10.198536711,,,,,,,,,,,,,,,33,,,33,137523.77,197909.77,1,S,,,33,,,,,,,,33,,,
46,Sky-A4-4,146.88677,191.06371,0,0,0,0,11.2581387,-10.170009767,,,,,,,,,,,,,,,33,,,33,146886.77,191063.71,1,S,,,33,,,,,,,,33,,,
47,Sky-A4-5,155.90952,183.77509,0,0,0,0,11.2962539,-10.139639127,,,,,,,,,,,,,,,33,,,33,155909.52,183775.09,1,S,,,33,,,,,,,,33,,,
48,Sky-A4-6,164.57115,176.06079,0,0,0,0,11.3328352,-10.1074954,,,,,,,,,,,,,,,33,,,33,164571.15,176060.79,1,S,,,33,,,,,,,,33,,,
49,Sky-A4-7,172.85157,167.93867,0,0,0,0,11.3677977,-10.073653281,,,,,,,,,,,,,,,33,,,33,172851.57,167938.67,1,S,,,33,,,,,,,,33,,,
50,Sky-A5-1,189.83588,-148.4702,0,0,0,0,11.4381415,-8.756066558,,,,,,,,,,,,,,,33,,,33,189835.88,-148470.2,1,S,,,33,,,,,,,,33,,,
51,Sky-A5-2,182.47249,-157.43205,0,0,0,0,11.4070769,-8.718756246,,,,,,,,,,,,,,,33,,,33,182472.49,-157432.05,1,S,,,33,,,,,,,,33,,,
52,Sky-A5-3,178.31055,-169.47374,0,0,0,0,11.3884426,-8.669577115,,,,,,,,,,,,,,,33,,,33,178310.55,-169473.74,0,S,,,33,,,,,,,,33,,,
53,Sky-A5-4,166.49577,-174.24185,0,0,0,0,11.3396978,-8.64876868,,,,,,,,,,,,,,,33,,,33,166495.77,-174241.85,1,S,,,33,,,,,,,,33,,,
54,Sky-A5-5,157.91943,-182.05086,0,0,0,0,11.3035391,-8.616253122,,,,,,,,,,,,,,,33,,,33,157919.43,-182050.86,1,S,,,33,,,,,,,,33,,,
55,Sky-A5-6,148.97731,-189.43818,0,0,0,0,11.2658446,-8.585491172,,,,,,,,,,,,,,,33,,,33,148977.31,-189438.18,1,S,,,33,,,,,,,,33,,,
56,Sky-A5-7,139.6901,-196.38671,0,0,0,0,11.2267012,-8.556553852,,,,,,,,,,,,,,,33,,,33,139690.1,-196386.71,1,S,,,33,,,,,,,,33,,,
57,Sky-H1-1,-158.92893,-181.17025,0,0,0,0,9.9681268,-8.618845228,,,,,,,,,,,,,,,33,,,33,-158928.93,-181170.25,1,S,,,33,,,,,,,,33,,,
58,Sky-H1-2,-167.46173,-173.31368,0,0,0,0,9.9320852,-8.651512364,,,,,,,,,,,,,,,33,,,33,-167461.73,-173313.68,1,S,,,33,,,,,,,,33,,,
59,Sky-H1-3,-175.60663,-165.05567,0,0,0,0,9.8976702,-8.685853373,,,,,,,,,,,,,,,33,,,33,-175606.63,-165055.67,1,S,,,33,,,,,,,,33,,,
60,Sky-H1-4,-183.34477,-156.41534,0,0,0,0,9.8649617,-8.721788952,,,,,,,,,,,,,,,33,,,33,-183344.77,-156415.34,1,S,,,33,,,,,,,,33,,,
61,Sky-H1-5,-190.65822,-147.4127,0,0,0,0,9.8340355,-8.75923608,,,,,,,,,,,,,,,33,,,33,-190658.22,-147412.7,1,S,,,33,,,,,,,,33,,,
62,Sky-H1-6,-197.53006,-138.06861,0,0,0,0,9.8049633,-8.798108189,,,,,,,,,,,,,,,33,,,33,-197530.06,-138068.61,1,S,,,33,,,,,,,,33,,,
63,Sky-H1-7,-203.94434,-128.4047,0,0,0,0,9.7778129,-8.838315478,,,,,,,,,,,,,,,33,,,33,-203944.34,-128404.7,1,S,,,33,,,,,,,,33,,,
64,Sky-H1-8,-208.14361,-117.46164,0,0,0,0,9.7595065,-8.883609941,,,,,,,,,,,,,,,33,,,33,-208143.61,-117461.64,2,S,,,33,,,,,,,,33,,,
65,Sky-H2-1,-217.08302,-99.97981,0,0,0,0,9.7215899,-8.95640369,,,,,,,,,,,,,,,33,,,33,-217083.02,-99979.81,2,S,,,33,,,,,,,,33,,,
66,Sky-H2-2,-223.49692,-90.16757,0,0,0,0,9.6949253,-8.997445787,,,,,,,,,,,,,,,33,,,33,-223496.92,-90167.57,1,S,,,33,,,,,,,,33,,,
67,Sky-H2-3,-232.29779,-80.95516,0,0,0,0,9.6590566,-9.036195634,,,,,,,,,,,,,,,33,,,33,-232297.79,-80955.16,0,S,,,33,,,,,,,,33,,,
68,Sky-H2-4,-231.12877,-68.26826,0,0,0,0,9.6624783,-9.088611222,,,,,,,,,,,,,,,33,,,33,-231128.77,-68268.26,1,S,,,33,,,,,,,,33,,,
69,Sky-H2-5,-239.00342,-58.25258,0,0,0,0,9.63054,-9.13058216,,,,,,,,,,,,,,,33,,,33,-239003.42,-58252.58,0,S,,,33,,,,,,,,33,,,
70,Sky-H2-6,-234.65661,-45.35721,0,0,0,0,9.6467854,-9.183931934,,,,,,,,,,,,,,,33,,,33,-234656.61,-45357.21,2,S,,,33,,,,,,,,33,,,
71,Sky-H2-7,-236.56716,-34.01436,0,0,0,0,9.6385862,-9.231194507,,,,,,,,,,,,,,,33,,,33,-236567.16,-34014.36,2,S,,,33,,,,,,,,33,,,
72,Sky-H2-8,-244.89827,-23.25593,0,0,0,0,9.6052852,-9.276119012,,,,,,,,,,,,,,,33,,,33,-244898.27,-23255.93,0,S,,,33,,,,,,,,33,,,
73,Sky-H3-1,-154.91577,184.61356,0,0,0,0,9.9819583,-10.142585157,,,,,,,,,,,,,,,33,,,33,-154915.77,184613.56,1,S,,,33,,,,,,,,33,,,
74,Sky-H3-2,-145.85382,191.8534,0,0,0,0,10.0202264,-10.172794046,,,,,,,,,,,,,,,33,,,33,-145853.82,191853.4,1,S,,,33,,,,,,,,33,,,
75,Sky-H3-3,-136.45402,198.64884,0,0,0,0,10.0599319,-10.201150985,,,,,,,,,,,,,,,33,,,33,-136454.02,198648.84,1,S,,,33,,,,,,,,33,,,
76,Sky-H3-4,-124.63455,201.58181,0,0,0,0,10.1093247,-10.214376064,,,,,,,,,,,,,,,33,,,33,-124634.55,201581.81,3,S,,,33,,,,,,,,33,,,
77,Sky-H3-5,-115.75996,209.09479,0,0,0,0,10.1471214,-10.245259337,,,,,,,,,,,,,,,33,,,33,-115759.96,209094.79,2,S,,,33,,,,,,,,33,,,
78,Sky-H3-6,-106.44891,216.21677,0,0,0,0,10.1867334,-10.274473612,,,,,,,,,,,,,,,33,,,33,-106448.91,216216.77,1,S,,,33,,,,,,,,33,,,
79,Sky-H3-7,-95.92253,221.08806,0,0,0,0,10.2312346,-10.294809024,,,,,,,,,,,,,,,33,,,33,-95922.53,221088.06,1,S,,,33,,,,,,,,33,,,
80,Sky-H3-8,-85.17533,225.44672,0,0,0,0,10.2766763,-10.313006744,,,,,,,,,,,,,,,33,,,33,-85175.33,225446.72,1,S,,,33,,,,,,,,33,,,
81,Sky-H4-1,21.937,237.99111,0,0,0,0,10.7298307,-10.366071844,,,,,,,,,,,,,,,33,,,33,21937,237991.11,2,S,,,33,,,,,,,,33,,,
82,Sky-H4-2,33.64155,238.64054,0,0,0,0,10.779293,-10.368224466,,,,,,,,,,,,,,,33,,,33,33641.55,238640.54,1,S,,,33,,,,,,,,33,,,
83,Sky-H4-3,46.01993,241.65712,0,0,0,0,10.8313801,-10.379343667,,,,,,,,,,,,,,,33,,,33,46019.93,241657.12,0,S,,,33,,,,,,,,33,,,
84,Sky-H4-4,56.42319,234.30213,0,0,0,0,10.8756658,-10.35016431,,,,,,,,,,,,,,,33,,,33,56423.19,234302.13,1,S,,,33,,,,,,,,33,,,
85,Sky-H4-5,67.06981,229.39625,0,0,0,0,10.9208566,-10.330274095,,,,,,,,,,,,,,,33,,,33,67069.81,229396.25,2,S,,,33,,,,,,,,33,,,
86,Sky-H4-6,78.68236,227.79409,0,0,0,0,10.9698146,-10.323056234,,,,,,,,,,,,,,,33,,,33,78682.36,227794.09,1,S,,,33,,,,,,,,33,,,
87,Sky-H4-7,89.55136,223.74453,0,0,0,0,11.0157799,-10.306185043,,,,,,,,,,,,,,,33,,,33,89551.36,223744.53,1,S,,,33,,,,,,,,33,,,
88,Sky-H4-8,98.54829,215.5394,0,0,0,0,11.0542784,-10.273021289,,,,,,,,,,,,,,,33,,,33,98548.29,215539.4,3,S,,,33,,,,,,,,33,,,
89,Sky-H5-1,237.34134,41.83481,0,0,0,0,11.6394844,-9.5483718,,,,,,,,,,,,,,,33,,,33,237341.34,41834.81,1,S,,,33,,,,,,,,33,,,
90,Sky-H5-2,239.07931,30.36687,0,0,0,0,11.6467455,-9.500616295,,,,,,,,,,,,,,,33,,,33,239079.31,30366.87,1,S,,,33,,,,,,,,33,,,
91,Sky-H5-3,240.26349,18.8286,0,0,0,0,11.6516682,-9.452569962,,,,,,,,,,,,,,,33,,,33,240263.49,18828.6,1,S,,,33,,,,,,,,33,,,
92,Sky-H5-4,240.89115,7.2467,0,0,0,0,11.6542419,-9.40434391,,,,,,,,,,,,,,,33,,,33,240891.15,7246.7,1,S,,,33,,,,,,,,33,,,
93,Sky-H5-5,240.96083,-4.35197,0,0,0,0,11.6544614,-9.356049889,,,,,,,,,,,,,,,33,,,33,240960.83,-4351.97,1,S,,,33,,,,,,,,33,,,
94,Sky-H5-6,236.481,-15.67599,0,0,0,0,11.6365887,-9.30886397,,,,,,,,,,,,,,,33,,,33,236481,-15675.99,3,S,,,33,,,,,,,,33,,,
95,Sky-H5-7,239.4269,-27.49224,0,0,0,0,11.6478441,-9.259704547,,,,,,,,,,,,,,,33,,,33,239426.9,-27492.24,1,S,,,33,,,,,,,,33,,,
96,Sky-H5-8,237.82707,-38.97879,0,0,0,0,11.6410249,-9.21188213,,,,,,,,,,,,,,,33,,,33,237827.07,-38978.79,1,S,,,33,,,,,,,,33,,,
97,Sky-H6-1,233.82492,-58.36925,0,0,0,0,11.6240293,-9.131155892,,,,,,,,,,,,,,,33,,,33,233824.92,-58369.25,1,S,,,33,,,,,,,,33,,,
98,Sky-H6-2,230.74573,-69.55194,0,0,0,0,11.6109795,-9.084601545,,,,,,,,,,,,,,,33,,,33,230745.73,-69551.94,1,S,,,33,,,,,,,,33,,,
99,Sky-H6-3,227.13205,-80.57354,0,0,0,0,11.5956799,-9.038718579,,,,,,,,,,,,,,,33,,,33,227132.05,-80573.54,1,S,,,33,,,,,,,,33,,,
100,Sky-H6-4,222.99226,-91.4085,0,0,0,0,11.5781665,-8.993613132,,,,,,,,,,,,,,,33,,,33,222992.26,-91408.5,1,S,,,33,,,,,,,,33,,,
101,Sky-H6-5,218.33596,-102.03172,0,0,0,0,11.5584803,-8.949389462,,,,,,,,,,,,,,,33,,,33,218335.96,-102031.72,1,S,,,33,,,,,,,,33,,,
102,Sky-H6-6,213.17391,-112.41861,0,0,0,0,11.5366672,-8.906149694,,,,,,,,,,,,,,,33,,,33,213173.91,-112418.61,1,S,,,33,,,,,,,,33,,,
103,Sky-H6-7,207.51809,-122.54511,0,0,0,0,11.5127781,-8.863993745,,,,,,,,,,,,,,,33,,,33,207518.09,-122545.11,1,S,,,33,,,,,,,,33,,,
104,Sky-H6-8,201.3824,-132.38652,0,0,0,0,11.4868719,-8.823024195,,,,,,,,,,,,,,,33,,,33,201382.4,-132386.52,1,S,,,33,,,,,,,,33,,,
105,Sky-H7-1,122.07792,-205.47015,0,0,0,0,11.1527698,-8.518258588,,,,,,,,,,,,,,,33,,,33,122077.92,-205470.15,2,S,,,33,,,,,,,,33,,,
106,Sky-H7-2,112.98823,-212.87255,0,0,0,0,11.1141844,-8.487883286,,,,,,,,,,,,,,,33,,,33,112988.23,-212872.55,1,S,,,33,,,,,,,,33,,,
107,Sky-H7-3,102.61518,-218.06235,0,0,0,0,11.0704819,-8.466258882,,,,,,,,,,,,,,,33,,,33,102615.18,-218062.35,1,S,,,33,,,,,,,,33,,,
108,Sky-H7-4,92.00444,-222.74704,0,0,0,0,11.0257812,-8.446734722,,,,,,,,,,,,,,,33,,,33,92004.44,-222747.04,1,S,,,33,,,,,,,,33,,,
109,Sky-H7-5,82.86479,-231.62346,0,0,0,0,10.9867904,-8.411073592,,,,,,,,,,,,,,,33,,,33,82864.79,-231623.46,0,S,,,33,,,,,,,,33,,,
110,Sky-H7-6,69.58635,-228.64545,0,0,0,0,10.931507,-8.421618316,,,,,,,,,,,,,,,33,,,33,69586.35,-228645.45,2,S,,,33,,,,,,,,33,,,
111,Sky-H7-7,58.99428,-233.66801,0,0,0,0,10.8867299,-8.401189991,,,,,,,,,,,,,,,33,,,33,58994.28,-233668.01,1,S,,,33,,,,,,,,33,,,
112,Sky-H7-8,47.68464,-236.23556,0,0,0,0,10.8390917,-8.39046932,,,,,,,,,,,,,,,33,,,33,47684.64,-236235.56,1,S,,,33,,,,,,,,33,,,
