#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
20,81822484136659008,-53.134469907507025,-95.79082903038766,109.54093673751998,-0.5434524454277639,1.06442714958835,4.675305712163481,248.41365729,-21.80944528,0.0,14.5792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-54995.452460001696,92828.0556114006,0,-53127.93,-95794.78,-99,P,rectangular_magnet,R20,1,I,20.0,-58.86246851092545,4.675305712163481,circular_magnet,Gre,1,TR,0.0076407166599999,0.0,-99.0
21,81112488284076224,37.030978218444375,42.53310584290137,56.425972942964,1.48635517398626,3.9964404001808704,3.77310008098498,248.82837954,-22.40345592,0.0,15.0868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38731.7760399944,-41418.3490285995,0,37034.25,42571.76,-99,P,rectangular_magnet,R21,1,I,21.0,-175.16187832684585,3.77310008098498,circular_magnet,Blu,1,TR,0.0387923757399998,0.0,-99.0
20,108002230460018864,10.821589617532254,44.87918142679618,46.161190650892,3.49458166080409,4.475916076117009,5.301850891866669,223.04597,0.00701725,18.1081008911133,17.4566993713379,17.2152996063232,17.1033000946045,0.0,17.522419,17.984789000000003,16.861828,0.0,0.0,0.0,0.0,2.96878429407991,-3.7575196274038603,4,10389.2200000025,-43614.1015,0,10814.42,44876.54,-99,P,rectangular_magnet,R20,1,I,20.0,69.77521967210782,5.301850891866669,circular_magnet,Blu,1,TR,0.0076407166599999,0.0,-99.0
21,108402231319586768,30.59930522868752,-32.35571694350946,44.50957653684879,1.41407407181148,2.32899260475786,5.3682667742331995,223.13194,0.3386229,18.11669921875,17.4598999023438,17.1602001190186,17.0109004974365,0.0,17.497695999999998,17.995373,16.795214,0.0,0.0,0.0,0.0,-0.980074772060987,-0.755641738991649,1,29818.4399999968,31328.7754,0,30605.36,-32317.4,-99,P,rectangular_magnet,R21,1,I,21.0,-171.0204762336771,5.3682667742331995,circular_magnet,Blu,1,TR,0.0387923757399998,0.0,-99.0
20,105261759934606528,-5.8296483658783,-15.610477785155195,16.656406685873197,1.5984980727277198,1.21321768222872,0.385280390498999,175.99341,-2.2782965,17.1000003814697,16.7406005859375,16.6149005889893,16.5837993621826,0.0,16.767763000000002,17.090134,16.278666,0.0,0.0,0.0,0.0,-1.7152946498778798,-11.3931368484361,8,-5676.846666197211,15244.392891611002,0,-5829.86,-15602.84,-99,P,rectangular_magnet,R20,1,I,20.0,178.41280687290555,0.385280390498999,circular_magnet,Blu,1,TR,0.0076407166599999,0.0,-99.0
21,105271761451277664,29.357010312020165,-17.888307879231146,34.3664198421948,1.31887226878672,2.59541601738251,5.00664155858379,176.14511000000002,-2.2690048,17.2318000793457,16.8931999206543,16.7670993804932,16.7362995147705,0.0,16.911673999999998,17.234312,16.423182999999998,0.0,0.0,0.0,0.0,-7.0730292498101,-3.36422045404826,8,28607.353333797597,17344.3170916111,0,29366.68,-17850.74,-99,P,rectangular_magnet,R21,1,I,21.0,-165.5658147183225,5.00664155858379,circular_magnet,Blu,1,TR,0.0387923757399998,0.0,-99.0
20,110862128529814288,-125.2158266891123,88.96689675220837,153.596396568493,-0.34259330605896504,-0.617757335909333,0.275164029850369,212.85297000000003,2.38651,16.8295993804932,16.4778003692627,16.3607006072998,16.3320007324219,0.0,16.505651,16.818676,16.030489000000003,0.0,0.0,0.0,0.0,3.80893558619688,-2.8844935100966205,8,-120581.120176899,-85227.8257862882,0,-125208.63,88964.33,-99,P,rectangular_magnet,R20,1,I,20.0,-70.37084947338764,0.275164029850369,circular_magnet,Yel,1,TR,0.0076407166599999,0.0,-99.0
21,110642131024163920,-66.48236291713903,131.92783860449256,147.720141977362,0.145421812205482,-1.1042590240443502,1.2496808362498302,213.10242000000002,2.2029072999999997,16.8465995788574,16.468999862670902,16.305599212646502,16.250900268554698,0.0,16.487972,16.839733,15.972295,0.0,0.0,0.0,0.0,-2.9421340097087003,-2.20623182292182,8,-64205.4201769004,-126722.03598628801,0,-66443.98,131933.46,-99,P,rectangular_magnet,R21,1,I,21.0,-98.3320560885182,1.2496808362498302,circular_magnet,Gre,1,TL,0.0387923757399998,0.0,-99.0
20,901005481400622,-43.95147833003192,17.40644646769377,47.265263391344796,-0.5488893191012899,-0.37705838478325204,6.11135437286155,301.9875126991,-56.6946665455,0.0,16.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,-77890.5052566989,-16595.688740606598,0,-43944.96,17402.46,-99,P,rectangular_magnet,R20,1,I,20.0,-58.55095859568661,6.11135437286155,circular_magnet,Blu,1,TR,0.0076407166599999,0.0,-99.0
21,901005561005337,-95.62974482434149,-2.5026037363272184,95.63786094284,5.426428948755911,0.026477127656809,5.3999518210991,301.5880854138,-56.6062193445,0.0,16.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,-168161.07173450402,3393.37868539367,0,-95604.34,-2531.92,-99,P,rectangular_magnet,R21,1,I,21.0,-40.91147659132571,5.3999518210991,circular_magnet,Gre,1,TR,0.0387923757399998,0.0,-99.0
20,107741753810259344,122.26779398136564,3.1575333442743463,122.304210939492,4.132907460331279,3.16736027608949,0.965547184241785,175.38097,-0.2092574,16.5569000244141,16.1917991638184,16.0608997344971,16.0373001098633,0.0,16.217354,16.542048,15.72614,0.0,0.0,0.0,0.0,1.0124511729630898,-9.0876593075635,8,117944.58182378301,-3117.01654887722,0,122263.61,3151.14,-99,P,rectangular_magnet,R20,1,I,20.0,33.201845404885944,0.965547184241785,circular_magnet,Gre,1,TL,0.0076407166599999,0.0,-99.0
21,107561746107786528,-57.90322885556395,38.79610312930123,69.6600078405286,-0.5690670114895621,-0.5903297821353721,0.0212627706458104,174.61073000000002,-0.3615941,16.5076999664307,16.1429004669189,16.0200996398926,16.011699676513697,0.0,16.176182,16.505786999999998,15.680272,0.0,0.0,0.0,0.0,-3.9278528248096403,-4.0734889690287295,8,-56129.658176217694,-37545.1107488772,0,-57870.55,38775.2,-99,P,rectangular_magnet,R21,1,I,21.0,-57.394861981525366,0.0212627706458104,circular_magnet,Blu,1,TR,0.0387923757399998,0.0,-99.0
20,110632231839167120,57.546451702851236,15.67675451875283,59.6362200343927,3.68711816197307,3.40752252084605,0.27959564112701696,223.18396,2.1972342,16.917499542236303,16.5421009063721,16.4176006317139,16.3761005401611,0.0,16.572117000000002,16.923302,16.061676000000002,0.0,0.0,0.0,0.0,-0.8419332536504158,-5.85647159559282,8,55837.018801534,-15346.1224929239,0,57539.92,15672.79,-99,P,rectangular_magnet,R20,1,I,20.0,58.74369075290963,0.27959564112701696,circular_magnet,Blu,1,TR,0.0076407166599999,0.0,-99.0
21,110692229007324800,-8.36429255858974,4.620464055248363,9.51684235765729,-0.519076258669251,-0.504627943264532,6.26873699177487,222.90072999999998,2.2452936,16.8006000518799,16.4204006195068,16.3031005859375,16.2865009307861,0.0,16.45014,16.790504000000002,15.957357,0.0,0.0,0.0,0.0,-2.83020578268107,-1.4004434989265702,8,-8172.96119846668,-4484.69809292391,0,-8330.61,4601.22,-99,P,rectangular_magnet,R21,1,I,21.0,-60.25912113281089,6.26873699177487,circular_magnet,Blu,1,TR,0.0387923757399998,0.0,-99.0
